id_provincia;nombre_provincia;id_region;nombre_region;;
1;Antártida e Islas del Atlántico Sur;2;Extremo Austral;;
2;Buenos Aires;4;Buenos Aires;;
3;Catamarca;7;Noroeste;;
4;Chaco;8;Litoral;;
5;Chubut;1;Patagonia;;
6;Ciudad Autónoma de Buenos Aires;3;Ciudad Autónoma de Buenos Aires;;
7;Córdoba;5;Sierras;;
8;Corrientes;8;Litoral;;
9;Entre Ríos;8;Litoral;;
10;Formosa;8;Litoral;;
11;Jujuy;7;Noroeste;;
12;La Pampa;4;Buenos Aires;;
13;La Rioja;7;Noroeste;;
14;Mendoza;6;Cuyo;;
15;Misiones;8;Litoral;;
16;Neuquen;1;Patagonia;;
17;Rio Negro;1;Patagonia;;
18;Salta;7;Noroeste;;
19;San Juan;6;Cuyo;;
20;San Luis;6;Cuyo;;
21;Santa Cruz;1;Patagonia;;
22;Santa Fe;8;Litoral;;
23;Santiago del Estero;7;Noroeste;;
24;Tierra del Fuego;2;Extremo Austral;;
25;Tucumán;7;Noroeste;;
